Name,Street,City,State,Zip,Phone,Website,Type,Awards,Campus Setting,Campus Housing,Student Population,Student to Faculty Ratio
Alabama A & M University,4900 Meridian Street,Normal,Alabama ,35762,(256) 372-5000,www.aamu.edu/,"4-year, Public",Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarship,City: Midsize,Yes,"5,977 (5,093 undergraduate)",18 to 1
Alabama State University,915 S Jackson Street,Montgomery,Alabama ,36104-0271,(334) 229-4100,www.alasu.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"4,072 (3,614 undergraduate)",15 to 1
Albany State University,504 College Drive,Albany,Georgia ,31705,(229) 500-3500,www.asurams.edu/,"4-year, Public",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreePost-master's certificate,City: Small,Yes,"6,509 (6,102 undergraduate)",19 to 1
Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,Mississippi ,39096-7500,(601) 877-6100,www.alcorn.edu/,"4-year, Public",Associate's degreeBachelor's degreeMaster's degreePost-master's certificateDoctor's degree - professional practice,Rural: Remote,Yes,"3,230 (2,729 undergraduate)",16 to 1
Allen University,1530 Harden Street,Columbia,South Carolina ,29204,376-5700 x5893,www.allenuniversity.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Midsize,Yes,705 (656 undergraduate),15 to 1
American Baptist College,1800 Baptist World Ctr Dr,Nashville,Tennessee ,37207-9980,(615) 256-1463,www.abcnash.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degree,City: Large,Yes,55 (all undergraduate),7 to 1
Arkansas Baptist College,1600 Dr. Martin Luther King Jr. Drive,Little Rock,Arkansas ,72202-6068,(501) 420-1200,www.arkansasbaptist.edu/,"4-year, primarily associate's, Private not-for-profit",Associate's degreeBachelor's degree,City: Midsize,Yes,468 (all undergraduate),22 to 1
Benedict College,1600 Harden Street,Columbia,South Carolina ,29204-1086,(803) 253-5000,www.benedict.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Midsize,Yes,"1,731 (1,724 undergraduate)",18 to 1
Bennett College,900 E Washington St,Greensboro,North Carolina ,27401-3239,(336) 517-2100,www.bennett.edu/,"4-year, Private not-for-profit",Bachelor's degree,City: Large,Yes,232 (all undergraduate),7 to 1
Bethune-Cookman University,640 Dr Mary McLeod Bethune Blvd,Daytona Beach,Florida ,32114-3099,(386) 481-2000,www.cookman.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degree,City: Small,Yes,"2,845 (2,746 undergraduate)",15 to 1
